State;Probability
'100001';0.1815
'100100';0.1735
'011000';0.1645
'101000';0.001
'010010';0.16
'000110';0.1505
'001001';0.1595
'010110';0.001
'100010';0.001
'011010';0.001
'010001';0.0005
'001000';0.002
'011001';0.0005
'000010';0.001
'000101';0.0005
'000001';0.0005
'010100';0.0005
'101010';0.001
